Начальная ε,Функция,Метод,max ε,Финальная ε,Итерации,f(x)
0.0001,Rastrigin-2,Simulated Annealing,0.0132513278726224,0.00471984066085592,625,6.257342513429218
0.0001,Rastrigin-2,Particle Swarm,0.006021856439832314,0.0011186889107762216,50,0.09490548089534091
0.0001,Himmelblau,Simulated Annealing,0.009322782999517292,9.840496300796284e-05,500,0.0025729562247268274
0.0001,Himmelblau,Particle Swarm,0.0029515000532285155,1.8966527887010515e-06,50,1.5483438329743084e-06
0.0001,Eggholder,Simulated Annealing,0.003856099230848076,0.00034473791094218455,625,-893.9813890370866
0.0001,Eggholder,Particle Swarm,0.0033327771422400044,0.0004625909288971378,50,-786.5257431848341
0.0001,Desmos-discontinuous,Simulated Annealing,2.077600001514,0.00531964182334366,500,3.173826458785873
0.0001,Desmos-discontinuous,Particle Swarm,0.012573940505074547,5.15901209755605e-06,100,4.379930826447217e-08
1e-08,Rastrigin-2,Simulated Annealing,1.32513285545e-06,4.719840913461199e-07,625,6.257338765671232
1e-08,Rastrigin-2,Particle Swarm,6.02185678945423e-07,1.1186889851548351e-07,50,0.09490153169202262
1e-08,Himmelblau,Simulated Annealing,9.322782871817487e-07,9.840496338826005e-09,500,0.0025719921913370768
1e-08,Himmelblau,Particle Swarm,2.951500033492974e-07,1.6229575443010715e-10,50,8.575949963277549e-07
1e-08,Eggholder,Simulated Annealing,3.856102132648061e-07,3.447380753630284e-08,625,-893.9813890457159
1e-08,Eggholder,Particle Swarm,3.332779004162502e-07,4.6259182745856797e-08,50,-786.525743205199
1e-08,Desmos-discontinuous,Simulated Annealing,0.00020776,5.319641919208977e-07,500,3.173824366745914
1e-08,Desmos-discontinuous,Particle Swarm,1.257394033519111e-06,8.726593680147337e-12,100,3.887966791671365e-10
1e-12,Rastrigin-2,Simulated Annealing,1.3252795e-10,4.719723607509302e-11,625,6.257338765671189
1e-12,Rastrigin-2,Particle Swarm,6.022267560339282e-11,1.118750574801896e-11,50,0.09490153169198291
1e-12,Himmelblau,Simulated Annealing,9.324212106472769e-11,9.841772809432608e-13,500,0.0025719921913273966
1e-12,Himmelblau,Particle Swarm,2.951761509779739e-11,1.6230486700788903e-14,50,8.575949866837828e-07
1e-12,Eggholder,Simulated Annealing,3.912747695148061e-11,3.4553562344851005e-12,625,-893.9813890457159
1e-12,Eggholder,Particle Swarm,3.4175107317969014e-11,4.809604080430409e-12,50,-786.525743205199
1e-12,Desmos-discontinuous,Simulated Annealing,2.0776e-08,5.32017391000177e-11,500,3.1738243667458947
1e-12,Desmos-discontinuous,Particle Swarm,1.257489355695535e-10,8.726491993821691e-16,100,3.8874552322217767e-10
