Функция,Метод,Группа,Статус,Итерации,Вызовы f,Вызовы ∇f,Вызовы H,"Время, с",f(x),Ошибка f,Точка,ε результата,"Память сохранённого состояния, байт",Acceptance rate
Rastrigin-2,Simulated Annealing,Лабораторная 2,OK,5000,5001,0,0,1.875410799999372,0.11656307304249357,0.11656307304249357,[-0.023415  0.006345],1.1774409386923216e-07,161311,0.0212
Rastrigin-2,Particle Swarm,Лабораторная 2,OK,250,7530,0,0,1.4791988000069978,2.000001671437277e-14,2.000001671437277e-14,[-7.969893e-13 -8.743080e-13],2.0200016712973166e-14,8962,
Rastrigin-2,Nelder-Mead,Лабораторная 1,OK,57,281,0,0,0.04288599999563303,24.873845033948545,24.873845033948545,[ 3.979784 -2.984856],2.785855921693973e-07,2770,
Himmelblau,Simulated Annealing,Лабораторная 2,OK,4000,4001,0,0,1.0582283999974607,0.0005321679923697778,0.0005321679923697778,[-2.809164  3.131321],3.587611334284757e-09,129311,0.07
Himmelblau,Particle Swarm,Лабораторная 2,OK,250,7530,0,0,0.9082404000073439,6.094663439352706e-20,6.094663439352706e-20,[-2.805118  3.131313],9.644155215095341e-15,8962,
Himmelblau,Nelder-Mead,Лабораторная 1,OK,60,295,0,0,0.012846800003899261,2.452211606211951e-16,2.452211606211951e-16,[-2.805118  3.131313],1.1175246683640312e-14,2866,
Eggholder,Simulated Annealing,Лабораторная 2,OK,5000,5001,0,0,1.5670161000016378,-893.9813890457159,65.65931095428414,[-463.911895  384.532303],3.447380753630284e-08,161311,0.5314
Eggholder,Particle Swarm,Лабораторная 2,OK,250,7530,0,0,1.1634170999896014,-886.7296029596024,72.91109704039764,[-457.573796  383.596429],4.218725750105613e-08,8962,
Eggholder,Nelder-Mead,Лабораторная 1,OK,85,419,0,0,0.07082369999261573,-558.5207320973301,401.11996790266994,[-333.446934  181.415712],3.9866383404644197e-08,3666,
Desmos-discontinuous,Simulated Annealing,Лабораторная 2,OK,4000,4001,0,0,1.7373737000016263,0.3281477799836003,0.3281477799836003,[ 1.715657 -2.218926],1.7028810442816327e-07,129311,0.0155
Desmos-discontinuous,Particle Swarm,Лабораторная 2,OK,500,15030,0,0,3.131512699997984,1.7758039892788608e-22,1.7758039892788608e-22,[-1.502335  0.971959],5.115605965519588e-14,16962,
Desmos-discontinuous,Nelder-Mead,Лабораторная 1,OK,105,522,0,0,0.13994200000888668,552.5517959933592,552.5517959933592,[ 3.964391 -2.565634],1260.0784578080397,4306,
