Функция,Метод,Группа,Статус,Итерации,Вызовы f,Вызовы ∇f,Вызовы H,"Время, с",f(x),Ошибка f,Точка,ε результата,"Память сохранённого состояния, байт",Acceptance rate
Rastrigin-2,Simulated Annealing,Лабораторная 2,OK,5000.0,5001.0,0.0,0.0,1.875410799999372,0.1165630730424935,0.1165630730424935,[-0.023415  0.006345],1.1774409386923216e-07,161311.0,0.0212
Rastrigin-2,Particle Swarm,Лабораторная 2,OK,250.0,7530.0,0.0,0.0,1.4791988000069978,2.000001671437277e-14,2.000001671437277e-14,[-7.969893e-13 -8.743080e-13],2.0200016712973166e-14,8962.0,
Rastrigin-2,Nelder-Mead,Лабораторная 1,OK,57.0,281.0,0.0,0.0,0.042885999995633,24.873845033948545,24.873845033948545,[ 3.979784 -2.984856],2.785855921693973e-07,2770.0,
Himmelblau,Simulated Annealing,Лабораторная 2,OK,4000.0,4001.0,0.0,0.0,1.0582283999974609,0.0005321679923697,0.0005321679923697,[-2.809164  3.131321],3.5876113342847572e-09,129311.0,0.07
Himmelblau,Particle Swarm,Лабораторная 2,OK,250.0,7530.0,0.0,0.0,0.908240400007344,6.094663439352706e-20,6.094663439352706e-20,[-2.805118  3.131313],9.64415521509534e-15,8962.0,
Himmelblau,Nelder-Mead,Лабораторная 1,OK,60.0,295.0,0.0,0.0,0.0128468000038992,2.4522116062119513e-16,2.4522116062119513e-16,[-2.805118  3.131313],1.1175246683640312e-14,2866.0,
Eggholder,Simulated Annealing,Лабораторная 2,OK,5000.0,5001.0,0.0,0.0,1.5670161000016378,-893.9813890457159,65.65931095428414,[-463.911895  384.532303],3.4473807536302844e-08,161311.0,0.5314
Eggholder,Particle Swarm,Лабораторная 2,OK,250.0,7530.0,0.0,0.0,1.1634170999896014,-886.7296029596024,72.91109704039764,[-457.573796  383.596429],4.218725750105613e-08,8962.0,
Eggholder,Nelder-Mead,Лабораторная 1,OK,85.0,419.0,0.0,0.0,0.0708236999926157,-558.5207320973301,401.11996790266994,[-333.446934  181.415712],3.98663834046442e-08,3666.0,
Desmos-discontinuous,Simulated Annealing,Лабораторная 2,OK,4000.0,4001.0,0.0,0.0,1.7373737000016265,0.3281477799836003,0.3281477799836003,[ 1.715657 -2.218926],1.702881044281633e-07,129311.0,0.0155
Desmos-discontinuous,Particle Swarm,Лабораторная 2,OK,500.0,15030.0,0.0,0.0,3.131512699997984,1.7758039892788608e-22,1.7758039892788608e-22,[-1.502335  0.971959],5.115605965519589e-14,16962.0,
Desmos-discontinuous,Nelder-Mead,Лабораторная 1,OK,105.0,522.0,0.0,0.0,0.1399420000088866,552.5517959933592,552.5517959933592,[ 3.964391 -2.565634],1260.0784578080395,4306.0,
Rastrigin-2,Gradient descent,Лабораторная 1,OK,5000.0,5001.0,5000.0,0.0,1.7852752999897348,40.779579575878856,40.779579575878856,[ 3.324601 -3.169637],1.2403425841331592e-06,160864.0,
Rastrigin-2,Newton,Лабораторная 1,OK,8.0,23.0,8.0,8.0,0.004955399999744259,33.82832417602928,33.82832417602928,[ 4.974691 -2.984856],3.1838187955285937e-07,1143.0,
Himmelblau,Gradient descent,Лабораторная 1,OK,17.0,18.0,17.0,0.0,0.005197599995881319,1.690449941296547e-15,1.690449941296547e-15,[-2.805118  3.131313],1.0986333236063017e-14,1380.0,
Himmelblau,Newton,Лабораторная 1,OK,5.0,11.0,5.0,5.0,0.0017722999909892678,3.0775893281128585e-23,3.0775893281128585e-23,[-2.805118  3.131313],9.644094367295256e-15,1047.0,
Eggholder,Gradient descent,Лабораторная 1,"N/A: нет гладких производных, необходимых методу",,,,,,,,—,,,
Eggholder,Newton,Лабораторная 1,"N/A: нет гладких производных, необходимых методу",,,,,,,,—,,,
Desmos-discontinuous,Gradient descent,Лабораторная 1,"N/A: нет гладких производных, необходимых методу",,,,,,,,—,,,
Desmos-discontinuous,Newton,Лабораторная 1,"N/A: нет гладких производных, необходимых методу",,,,,,,,—,,,
